,DATE,PLACE,PLOT,VALUE,MONTH
10155,1988-01-01,"Windsor, Ontario",Total (house and land),73.7,1
10158,1988-01-01,"Greater Sudbury, Ontario",Total (house and land),71.3,1
10167,1988-01-01,"Winnipeg, Manitoba",Total (house and land),38.2,1
10173,1988-01-01,"Regina, Saskatchewan",Total (house and land),25.5,1
10176,1988-01-01,"Saskatoon, Saskatchewan",Total (house and land),39.0,1
10182,1988-01-01,"Calgary, Alberta",Total (house and land),26.7,1
10185,1988-01-01,"Edmonton, Alberta",Total (house and land),34.0,1
10191,1988-01-01,"Kelowna, British Columbia",Total (house and land),,1
10194,1988-01-01,"Vancouver, British Columbia",Total (house and land),68.7,1
10197,1988-01-01,"Victoria, British Columbia",Total (house and land),93.2,1
10206,1988-02-01,Newfoundland and Labrador,Total (house and land),41.7,2
10209,1988-02-01,"St. John's, Newfoundland and Labrador",Total (house and land),41.7,2
10212,1988-02-01,Prince Edward Island,Total (house and land),,2
10215,1988-02-01,"Charlottetown, Prince Edward Island",Total (house and land),,2
10221,1988-02-01,"Halifax, Nova Scotia",Total (house and land),54.2,2
10227,1988-02-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),76.0,2
10233,1988-02-01,"Québec, Quebec",Total (house and land),47.8,2
10236,1988-02-01,"Sherbrooke, Quebec",Total (house and land),,2
10239,1988-02-01,"Trois-Rivières, Quebec",Total (house and land),,2
10242,1988-02-01,"Montréal, Quebec",Total (house and land),48.9,2
10245,1988-02-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,2
10251,1988-02-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),49.5,2
10254,1988-02-01,"Oshawa, Ontario",Total (house and land),,2
10257,1988-02-01,"Toronto, Ontario",Total (house and land),48.9,2
10260,1988-02-01,"Hamilton, Ontario",Total (house and land),54.9,2
10263,1988-02-01,"St. Catharines-Niagara, Ontario",Total (house and land),50.8,2
10266,1988-02-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),59.0,2
10269,1988-02-01,"Guelph, Ontario",Total (house and land),,2
10272,1988-02-01,"London, Ontario",Total (house and land),51.0,2
10275,1988-02-01,"Windsor, Ontario",Total (house and land),76.6,2
10278,1988-02-01,"Greater Sudbury, Ontario",Total (house and land),71.7,2
10287,1988-02-01,"Winnipeg, Manitoba",Total (house and land),38.4,2
10293,1988-02-01,"Regina, Saskatchewan",Total (house and land),25.5,2
10296,1988-02-01,"Saskatoon, Saskatchewan",Total (house and land),38.8,2
10302,1988-02-01,"Calgary, Alberta",Total (house and land),26.8,2
10305,1988-02-01,"Edmonton, Alberta",Total (house and land),34.0,2
10311,1988-02-01,"Kelowna, British Columbia",Total (house and land),,2
10314,1988-02-01,"Vancouver, British Columbia",Total (house and land),69.4,2
10317,1988-02-01,"Victoria, British Columbia",Total (house and land),92.9,2
10326,1988-03-01,Newfoundland and Labrador,Total (house and land),41.7,3
10329,1988-03-01,"St. John's, Newfoundland and Labrador",Total (house and land),41.7,3
10332,1988-03-01,Prince Edward Island,Total (house and land),,3
10335,1988-03-01,"Charlottetown, Prince Edward Island",Total (house and land),,3
10341,1988-03-01,"Halifax, Nova Scotia",Total (house and land),54.3,3
10347,1988-03-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),76.0,3
10353,1988-03-01,"Québec, Quebec",Total (house and land),48.4,3
10356,1988-03-01,"Sherbrooke, Quebec",Total (house and land),,3
10359,1988-03-01,"Trois-Rivières, Quebec",Total (house and land),,3
10362,1988-03-01,"Montréal, Quebec",Total (house and land),49.4,3
10365,1988-03-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,3
10371,1988-03-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),49.6,3
10374,1988-03-01,"Oshawa, Ontario",Total (house and land),,3
10377,1988-03-01,"Toronto, Ontario",Total (house and land),49.7,3
10380,1988-03-01,"Hamilton, Ontario",Total (house and land),55.4,3
10383,1988-03-01,"St. Catharines-Niagara, Ontario",Total (house and land),51.8,3
10386,1988-03-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),59.7,3
10389,1988-03-01,"Guelph, Ontario",Total (house and land),,3
10392,1988-03-01,"London, Ontario",Total (house and land),51.2,3
10395,1988-03-01,"Windsor, Ontario",Total (house and land),76.9,3
10398,1988-03-01,"Greater Sudbury, Ontario",Total (house and land),71.9,3
10407,1988-03-01,"Winnipeg, Manitoba",Total (house and land),38.3,3
10413,1988-03-01,"Regina, Saskatchewan",Total (house and land),25.6,3
10416,1988-03-01,"Saskatoon, Saskatchewan",Total (house and land),39.0,3
10422,1988-03-01,"Calgary, Alberta",Total (house and land),26.9,3
10425,1988-03-01,"Edmonton, Alberta",Total (house and land),34.3,3
10431,1988-03-01,"Kelowna, British Columbia",Total (house and land),,3
10434,1988-03-01,"Vancouver, British Columbia",Total (house and land),69.4,3
10437,1988-03-01,"Victoria, British Columbia",Total (house and land),94.1,3
10446,1988-04-01,Newfoundland and Labrador,Total (house and land),41.7,4
10449,1988-04-01,"St. John's, Newfoundland and Labrador",Total (house and land),41.7,4
10452,1988-04-01,Prince Edward Island,Total (house and land),,4
10455,1988-04-01,"Charlottetown, Prince Edward Island",Total (house and land),,4
10461,1988-04-01,"Halifax, Nova Scotia",Total (house and land),54.3,4
10467,1988-04-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),78.4,4
10473,1988-04-01,"Québec, Quebec",Total (house and land),48.8,4
10476,1988-04-01,"Sherbrooke, Quebec",Total (house and land),,4
10479,1988-04-01,"Trois-Rivières, Quebec",Total (house and land),,4
10482,1988-04-01,"Montréal, Quebec",Total (house and land),49.6,4
10485,1988-04-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,4
10491,1988-04-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),50.1,4
10494,1988-04-01,"Oshawa, Ontario",Total (house and land),,4
10497,1988-04-01,"Toronto, Ontario",Total (house and land),51.7,4
10500,1988-04-01,"Hamilton, Ontario",Total (house and land),55.7,4
10503,1988-04-01,"St. Catharines-Niagara, Ontario",Total (house and land),51.9,4
10506,1988-04-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),59.8,4
10509,1988-04-01,"Guelph, Ontario",Total (house and land),,4
10512,1988-04-01,"London, Ontario",Total (house and land),52.5,4
10515,1988-04-01,"Windsor, Ontario",Total (house and land),76.7,4
10518,1988-04-01,"Greater Sudbury, Ontario",Total (house and land),72.6,4
10527,1988-04-01,"Winnipeg, Manitoba",Total (house and land),38.4,4
10533,1988-04-01,"Regina, Saskatchewan",Total (house and land),25.6,4
10536,1988-04-01,"Saskatoon, Saskatchewan",Total (house and land),39.0,4
10542,1988-04-01,"Calgary, Alberta",Total (house and land),27.1,4
10545,1988-04-01,"Edmonton, Alberta",Total (house and land),34.3,4
10551,1988-04-01,"Kelowna, British Columbia",Total (house and land),,4
10554,1988-04-01,"Vancouver, British Columbia",Total (house and land),69.9,4
10557,1988-04-01,"Victoria, British Columbia",Total (house and land),94.4,4
10566,1988-05-01,Newfoundland and Labrador,Total (house and land),41.8,5
10569,1988-05-01,"St. John's, Newfoundland and Labrador",Total (house and land),41.8,5
10572,1988-05-01,Prince Edward Island,Total (house and land),,5
10575,1988-05-01,"Charlottetown, Prince Edward Island",Total (house and land),,5
10581,1988-05-01,"Halifax, Nova Scotia",Total (house and land),54.4,5
10587,1988-05-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),78.4,5
10593,1988-05-01,"Québec, Quebec",Total (house and land),49.4,5
10596,1988-05-01,"Sherbrooke, Quebec",Total (house and land),,5
10599,1988-05-01,"Trois-Rivières, Quebec",Total (house and land),,5
10602,1988-05-01,"Montréal, Quebec",Total (house and land),50.0,5
10605,1988-05-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,5
10611,1988-05-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),50.8,5
10614,1988-05-01,"Oshawa, Ontario",Total (house and land),,5
10617,1988-05-01,"Toronto, Ontario",Total (house and land),53.1,5
10620,1988-05-01,"Hamilton, Ontario",Total (house and land),56.2,5
10623,1988-05-01,"St. Catharines-Niagara, Ontario",Total (house and land),51.7,5
10626,1988-05-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),60.2,5
10629,1988-05-01,"Guelph, Ontario",Total (house and land),,5
10632,1988-05-01,"London, Ontario",Total (house and land),53.5,5
10635,1988-05-01,"Windsor, Ontario",Total (house and land),77.1,5
10638,1988-05-01,"Greater Sudbury, Ontario",Total (house and land),73.5,5
10647,1988-05-01,"Winnipeg, Manitoba",Total (house and land),38.3,5
10653,1988-05-01,"Regina, Saskatchewan",Total (house and land),25.7,5
10656,1988-05-01,"Saskatoon, Saskatchewan",Total (house and land),39.0,5
10662,1988-05-01,"Calgary, Alberta",Total (house and land),27.2,5
10665,1988-05-01,"Edmonton, Alberta",Total (house and land),34.4,5
10671,1988-05-01,"Kelowna, British Columbia",Total (house and land),,5
10674,1988-05-01,"Vancouver, British Columbia",Total (house and land),69.7,5
10677,1988-05-01,"Victoria, British Columbia",Total (house and land),94.7,5
10686,1988-06-01,Newfoundland and Labrador,Total (house and land),41.9,6
10689,1988-06-01,"St. John's, Newfoundland and Labrador",Total (house and land),41.9,6
10692,1988-06-01,Prince Edward Island,Total (house and land),,6
10695,1988-06-01,"Charlottetown, Prince Edward Island",Total (house and land),,6
10701,1988-06-01,"Halifax, Nova Scotia",Total (house and land),54.6,6
10707,1988-06-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),78.6,6
10713,1988-06-01,"Québec, Quebec",Total (house and land),49.6,6
10716,1988-06-01,"Sherbrooke, Quebec",Total (house and land),,6
10719,1988-06-01,"Trois-Rivières, Quebec",Total (house and land),,6
10722,1988-06-01,"Montréal, Quebec",Total (house and land),50.0,6
10725,1988-06-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,6
10731,1988-06-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),50.9,6
10734,1988-06-01,"Oshawa, Ontario",Total (house and land),,6
10737,1988-06-01,"Toronto, Ontario",Total (house and land),53.9,6
10740,1988-06-01,"Hamilton, Ontario",Total (house and land),56.2,6
10743,1988-06-01,"St. Catharines-Niagara, Ontario",Total (house and land),51.8,6
10746,1988-06-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),61.3,6
10749,1988-06-01,"Guelph, Ontario",Total (house and land),,6
10752,1988-06-01,"London, Ontario",Total (house and land),54.2,6
10755,1988-06-01,"Windsor, Ontario",Total (house and land),77.1,6
10758,1988-06-01,"Greater Sudbury, Ontario",Total (house and land),74.7,6
10767,1988-06-01,"Winnipeg, Manitoba",Total (house and land),38.3,6
10773,1988-06-01,"Regina, Saskatchewan",Total (house and land),25.6,6
10776,1988-06-01,"Saskatoon, Saskatchewan",Total (house and land),39.4,6
10782,1988-06-01,"Calgary, Alberta",Total (house and land),27.3,6
10785,1988-06-01,"Edmonton, Alberta",Total (house and land),34.5,6
10791,1988-06-01,"Kelowna, British Columbia",Total (house and land),,6
10794,1988-06-01,"Vancouver, British Columbia",Total (house and land),70.8,6
10797,1988-06-01,"Victoria, British Columbia",Total (house and land),94.7,6
10806,1988-07-01,Newfoundland and Labrador,Total (house and land),41.9,7
10809,1988-07-01,"St. John's, Newfoundland and Labrador",Total (house and land),41.9,7
10812,1988-07-01,Prince Edward Island,Total (house and land),,7
10815,1988-07-01,"Charlottetown, Prince Edward Island",Total (house and land),,7
10821,1988-07-01,"Halifax, Nova Scotia",Total (house and land),54.6,7
10827,1988-07-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),78.6,7
10833,1988-07-01,"Québec, Quebec",Total (house and land),49.6,7
10836,1988-07-01,"Sherbrooke, Quebec",Total (house and land),,7
10839,1988-07-01,"Trois-Rivières, Quebec",Total (house and land),,7
10842,1988-07-01,"Montréal, Quebec",Total (house and land),50.1,7
10845,1988-07-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,7
10851,1988-07-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),50.9,7
10854,1988-07-01,"Oshawa, Ontario",Total (house and land),,7
10857,1988-07-01,"Toronto, Ontario",Total (house and land),54.2,7
10860,1988-07-01,"Hamilton, Ontario",Total (house and land),56.2,7
10863,1988-07-01,"St. Catharines-Niagara, Ontario",Total (house and land),52.4,7
10866,1988-07-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),61.4,7
10869,1988-07-01,"Guelph, Ontario",Total (house and land),,7
10872,1988-07-01,"London, Ontario",Total (house and land),53.5,7
10875,1988-07-01,"Windsor, Ontario",Total (house and land),77.1,7
10878,1988-07-01,"Greater Sudbury, Ontario",Total (house and land),74.9,7
10887,1988-07-01,"Winnipeg, Manitoba",Total (house and land),38.3,7
10893,1988-07-01,"Regina, Saskatchewan",Total (house and land),25.6,7
10896,1988-07-01,"Saskatoon, Saskatchewan",Total (house and land),39.4,7
10902,1988-07-01,"Calgary, Alberta",Total (house and land),27.5,7
10905,1988-07-01,"Edmonton, Alberta",Total (house and land),34.7,7
10911,1988-07-01,"Kelowna, British Columbia",Total (house and land),,7
10914,1988-07-01,"Vancouver, British Columbia",Total (house and land),70.8,7
10917,1988-07-01,"Victoria, British Columbia",Total (house and land),95.3,7
10926,1988-08-01,Newfoundland and Labrador,Total (house and land),42.4,8
10929,1988-08-01,"St. John's, Newfoundland and Labrador",Total (house and land),42.4,8
10932,1988-08-01,Prince Edward Island,Total (house and land),,8
10935,1988-08-01,"Charlottetown, Prince Edward Island",Total (house and land),,8
10941,1988-08-01,"Halifax, Nova Scotia",Total (house and land),54.6,8
10947,1988-08-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),78.6,8
10953,1988-08-01,"Québec, Quebec",Total (house and land),49.8,8
10956,1988-08-01,"Sherbrooke, Quebec",Total (house and land),,8
10959,1988-08-01,"Trois-Rivières, Quebec",Total (house and land),,8
10962,1988-08-01,"Montréal, Quebec",Total (house and land),50.3,8
10965,1988-08-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,8
10971,1988-08-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),51.0,8
10974,1988-08-01,"Oshawa, Ontario",Total (house and land),,8
10977,1988-08-01,"Toronto, Ontario",Total (house and land),55.0,8
10980,1988-08-01,"Hamilton, Ontario",Total (house and land),57.7,8
10983,1988-08-01,"St. Catharines-Niagara, Ontario",Total (house and land),52.4,8
10986,1988-08-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),61.8,8
10989,1988-08-01,"Guelph, Ontario",Total (house and land),,8
10992,1988-08-01,"London, Ontario",Total (house and land),54.1,8
10995,1988-08-01,"Windsor, Ontario",Total (house and land),77.1,8
10998,1988-08-01,"Greater Sudbury, Ontario",Total (house and land),74.9,8
11007,1988-08-01,"Winnipeg, Manitoba",Total (house and land),38.3,8
11013,1988-08-01,"Regina, Saskatchewan",Total (house and land),25.6,8
11016,1988-08-01,"Saskatoon, Saskatchewan",Total (house and land),39.4,8
11022,1988-08-01,"Calgary, Alberta",Total (house and land),27.8,8
11025,1988-08-01,"Edmonton, Alberta",Total (house and land),35.1,8
11031,1988-08-01,"Kelowna, British Columbia",Total (house and land),,8
11034,1988-08-01,"Vancouver, British Columbia",Total (house and land),71.3,8
11037,1988-08-01,"Victoria, British Columbia",Total (house and land),95.3,8
11046,1988-09-01,Newfoundland and Labrador,Total (house and land),42.5,9
11049,1988-09-01,"St. John's, Newfoundland and Labrador",Total (house and land),42.5,9
11052,1988-09-01,Prince Edward Island,Total (house and land),,9
11055,1988-09-01,"Charlottetown, Prince Edward Island",Total (house and land),,9
11061,1988-09-01,"Halifax, Nova Scotia",Total (house and land),55.3,9
11067,1988-09-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),78.6,9
11073,1988-09-01,"Québec, Quebec",Total (house and land),50.1,9
11076,1988-09-01,"Sherbrooke, Quebec",Total (house and land),,9
11079,1988-09-01,"Trois-Rivières, Quebec",Total (house and land),,9
11082,1988-09-01,"Montréal, Quebec",Total (house and land),50.5,9
11085,1988-09-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,9
11091,1988-09-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),51.3,9
11094,1988-09-01,"Oshawa, Ontario",Total (house and land),,9
11097,1988-09-01,"Toronto, Ontario",Total (house and land),57.1,9
11100,1988-09-01,"Hamilton, Ontario",Total (house and land),57.7,9
11103,1988-09-01,"St. Catharines-Niagara, Ontario",Total (house and land),52.5,9
11106,1988-09-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),62.4,9
11109,1988-09-01,"Guelph, Ontario",Total (house and land),,9
11112,1988-09-01,"London, Ontario",Total (house and land),54.3,9
11115,1988-09-01,"Windsor, Ontario",Total (house and land),77.1,9
11118,1988-09-01,"Greater Sudbury, Ontario",Total (house and land),74.7,9
11127,1988-09-01,"Winnipeg, Manitoba",Total (house and land),38.4,9
11133,1988-09-01,"Regina, Saskatchewan",Total (house and land),25.6,9
11136,1988-09-01,"Saskatoon, Saskatchewan",Total (house and land),39.4,9
11142,1988-09-01,"Calgary, Alberta",Total (house and land),27.8,9
11145,1988-09-01,"Edmonton, Alberta",Total (house and land),35.1,9
11151,1988-09-01,"Kelowna, British Columbia",Total (house and land),,9
11154,1988-09-01,"Vancouver, British Columbia",Total (house and land),72.0,9
